mq2_value,mq3_value,mq5_value,mq135_value,temp,humidity,label
134,140,226,251,30.61,57.56,nearly_ready
196,203,197,337,30.78,81.82,not_ready
141,182,246,274,38.19,71.0,approaching
155,89,216,300,34.41,65.94,approaching
127,177,247,248,36.27,59.48,not_ready
92,107,185,259,30.89,72.42,nearly_ready
151,185,268,340,30.64,93.34,not_ready
143,145,222,260,32.43,56.5,nearly_ready
121,84,142,191,27.86,78.29,approaching
91,110,172,208,28.17,76.81,not_ready
136,141,226,256,31.48,55.84,ready
142,113,274,270,33.06,67.38,approaching
173,191,266,308,32.82,72.73,approaching
176,140,264,269,33.44,49.53,ready
94,106,193,256,31.71,73.73,nearly_ready
170,144,252,282,30.0,66.73,ready
164,174,222,316,30.09,92.2,approaching
157,161,239,336,35.99,61.26,approaching
166,193,238,289,31.22,62.08,ready
171,191,266,300,30.54,65.99,ready
170,182,235,316,30.47,91.14,approaching
183,199,273,312,32.42,75.95,approaching
71,97,155,199,29.14,70.77,not_ready
167,159,260,296,30.74,67.87,ready
82,80,151,170,31.98,65.91,not_ready
134,113,217,270,30.18,67.06,nearly_ready
154,157,247,333,36.23,60.54,approaching
75,89,147,204,29.35,69.95,not_ready
91,101,153,219,30.42,61.14,approaching
151,119,224,240,32.78,58.45,nearly_ready
87,113,184,253,31.05,74.25,approaching
144,109,198,241,30.57,70.22,approaching
159,133,229,259,32.15,64.04,ready
165,140,230,266,31.62,54.38,ready
167,189,246,267,32.25,58.75,ready
205,226,271,344,32.34,73.14,approaching
139,174,249,259,33.92,62.95,nearly_ready
135,134,240,250,35.39,56.25,approaching
178,139,250,269,33.5,48.57,nearly_ready
167,138,238,274,31.86,64.91,ready
140,129,179,275,29.08,72.1,approaching
155,142,242,260,35.09,51.81,approaching
153,158,261,274,30.36,63.82,ready
147,145,250,278,30.65,61.73,ready
206,127,262,265,36.18,76.03,not_ready
196,213,298,319,33.23,89.12,not_ready
162,191,248,279,31.83,63.34,ready
147,177,235,257,31.18,60.94,ready
166,116,246,310,33.33,53.78,nearly_ready
137,125,203,280,31.44,66.74,nearly_ready
124,137,205,236,32.9,66.55,nearly_ready
167,135,238,258,30.06,62.72,ready
162,158,255,284,30.13,67.96,ready
168,160,252,274,31.09,72.19,ready
134,105,183,198,31.76,69.22,approaching
82,116,172,257,30.84,65.79,approaching
166,147,235,258,32.47,59.99,ready
117,118,178,234,33.57,69.99,nearly_ready
161,145,237,257,32.14,63.11,ready
87,96,125,208,28.24,77.76,not_ready
144,158,217,300,34.7,52.2,nearly_ready
132,139,211,243,32.97,58.21,nearly_ready
148,157,237,259,32.29,57.97,ready
141,197,288,343,37.4,61.41,approaching
144,203,281,348,36.81,63.69,approaching
160,192,250,284,30.52,62.33,ready
155,146,257,264,30.95,58.98,ready
118,125,195,283,31.57,74.82,nearly_ready
124,134,234,300,32.62,93.53,approaching
180,178,236,307,38.23,56.53,approaching
136,168,235,260,33.77,88.33,approaching
182,162,266,303,30.77,66.7,ready
153,151,210,307,30.55,69.99,nearly_ready
145,158,227,299,34.11,52.97,ready
136,153,215,254,33.54,64.0,nearly_ready
77,106,171,209,28.86,84.36,not_ready
135,165,236,234,33.54,66.24,nearly_ready
189,167,245,295,37.8,56.04,approaching
151,137,227,261,31.26,63.54,ready
97,77,165,178,31.05,70.63,not_ready
174,160,249,272,31.54,70.26,ready
168,188,283,353,30.63,94.37,not_ready
84,87,159,207,27.91,78.14,not_ready
212,190,313,299,28.51,74.59,approaching
129,153,215,246,33.04,66.53,nearly_ready
174,196,259,306,29.87,69.39,ready
150,147,283,316,30.45,94.26,approaching
69,106,158,192,27.72,84.02,not_ready
129,158,211,282,32.75,81.92,nearly_ready
149,138,238,255,32.25,62.72,ready
53,71,116,193,28.55,71.72,not_ready
125,131,288,236,32.32,64.06,nearly_ready
171,205,282,305,32.1,76.94,approaching
196,211,308,307,31.14,78.28,approaching
93,85,123,213,28.22,77.94,not_ready
135,152,224,255,34.01,62.91,nearly_ready
164,140,240,262,32.58,64.15,ready
100,88,170,186,30.41,74.59,not_ready
145,150,227,271,34.34,55.49,nearly_ready
137,171,241,266,36.27,62.12,not_ready
122,167,243,273,33.41,68.75,approaching
80,112,160,223,30.91,63.08,approaching
122,171,218,266,32.76,81.86,nearly_ready
100,90,158,179,31.01,72.3,not_ready
134,99,179,210,32.42,68.38,approaching
159,154,223,280,34.78,57.41,nearly_ready
168,167,223,313,30.23,87.83,nearly_ready
163,186,254,277,31.56,61.69,ready
164,140,255,266,30.43,61.55,ready
94,89,123,215,27.63,81.83,not_ready
149,134,194,284,31.17,69.72,ready
125,129,213,288,32.06,91.97,approaching
187,166,257,301,30.5,67.04,ready
182,166,236,283,37.85,55.79,approaching
158,134,226,253,31.24,63.38,ready
142,120,230,280,29.9,71.57,ready
84,100,162,210,28.91,73.45,not_ready
107,92,130,217,27.46,82.89,not_ready
122,93,193,271,33.77,61.83,nearly_ready
146,160,232,248,34.96,61.47,nearly_ready
95,96,132,216,27.95,77.83,not_ready
101,94,138,225,27.91,83.48,not_ready
151,148,242,271,30.35,63.44,ready
90,115,164,204,28.45,77.02,not_ready
85,94,136,207,27.93,78.12,not_ready
175,152,246,276,31.65,61.7,ready
188,202,190,347,30.93,81.04,not_ready
98,102,127,208,28.3,80.16,not_ready
121,95,190,255,33.18,64.31,nearly_ready
121,83,181,263,33.61,63.33,nearly_ready
70,69,135,214,28.84,71.88,not_ready
192,212,299,316,31.6,82.6,not_ready
88,112,172,213,27.95,85.77,not_ready
180,175,228,262,31.24,79.57,approaching
92,104,188,260,31.09,74.19,nearly_ready
128,116,166,240,29.37,67.65,approaching
217,216,205,363,34.48,76.48,not_ready
52,74,111,197,29.57,70.04,not_ready
140,147,222,249,31.95,55.55,ready
116,167,232,260,34.96,65.81,approaching
177,199,287,275,33.27,82.78,not_ready
163,160,258,285,30.49,69.45,ready
128,117,224,274,29.71,69.31,nearly_ready
125,136,207,236,32.58,65.73,ready
82,110,168,212,28.73,77.82,not_ready
152,156,229,310,34.85,51.34,ready
157,162,261,280,29.74,65.99,ready
189,122,269,259,34.35,81.11,approaching
126,193,269,379,34.96,62.66,not_ready
90,85,119,199,27.74,81.28,not_ready
145,141,246,272,32.52,62.47,ready
146,169,224,313,34.45,50.64,ready
171,199,257,289,38.44,59.53,approaching
79,81,145,218,28.06,77.72,not_ready
109,127,191,266,32.62,70.15,nearly_ready
159,182,244,276,31.06,61.29,ready
164,156,233,272,32.2,64.66,ready
151,139,241,272,32.71,61.72,ready
149,160,226,302,34.44,49.94,ready
163,168,212,262,29.41,75.14,ready
96,89,134,213,28.4,79.25,not_ready
165,161,211,246,32.31,80.75,approaching
49,72,117,203,28.79,71.28,not_ready
197,142,276,309,37.42,86.09,not_ready
51,73,103,197,28.58,71.06,not_ready
122,86,145,180,27.24,77.8,approaching
122,116,171,257,29.53,67.97,nearly_ready
69,119,172,211,28.87,74.98,approaching
136,141,213,253,30.92,56.01,nearly_ready
65,76,119,194,28.96,72.95,not_ready
112,112,178,235,30.54,71.81,approaching
177,101,251,246,33.53,80.55,approaching
53,72,110,203,28.9,72.11,not_ready
87,109,160,211,28.8,76.91,not_ready
227,212,296,374,28.44,80.69,approaching
149,144,217,248,32.09,59.05,nearly_ready
152,183,254,292,37.51,65.32,approaching
146,148,253,287,30.29,60.39,ready
112,88,179,252,32.91,64.64,approaching
141,183,245,283,32.37,89.12,approaching
132,104,196,238,31.59,66.46,nearly_ready
194,166,301,286,28.29,73.31,nearly_ready
105,111,173,206,31.15,69.7,approaching
134,117,167,254,29.14,70.04,approaching
137,171,245,252,36.21,73.43,approaching
159,190,254,287,31.48,92.7,approaching
90,84,122,205,27.69,81.34,not_ready
155,158,228,270,33.76,59.88,nearly_ready
82,84,163,203,27.94,78.83,not_ready
118,101,169,235,32.76,59.13,nearly_ready
153,199,282,337,31.35,94.61,approaching
51,72,113,202,28.61,71.47,not_ready
149,132,228,269,34.89,54.23,nearly_ready
173,199,261,302,32.17,77.61,approaching
81,114,163,207,28.81,73.52,not_ready
142,140,219,252,32.09,57.55,nearly_ready
81,108,166,203,29.11,72.8,not_ready
133,155,212,297,33.8,51.72,ready
120,93,192,275,33.22,65.13,nearly_ready
155,162,217,308,34.75,50.82,nearly_ready
154,160,209,298,29.87,86.04,nearly_ready
138,119,207,219,34.09,64.29,approaching
84,110,166,195,28.19,82.67,not_ready
125,129,212,242,30.98,61.79,nearly_ready
145,155,239,265,32.58,54.37,nearly_ready
154,150,218,302,33.75,50.98,ready
143,152,233,265,31.68,55.91,ready
108,115,192,260,31.12,77.48,nearly_ready
134,105,188,220,31.85,67.27,approaching
110,108,176,235,31.03,67.54,approaching
93,98,161,223,31.62,65.65,approaching
103,98,142,216,27.1,81.97,not_ready
213,235,274,376,32.86,73.28,approaching
167,141,239,270,30.64,61.14,ready
160,151,215,282,30.43,75.46,ready
158,187,250,278,32.58,59.12,ready
132,115,206,260,31.35,67.88,nearly_ready
147,151,226,260,32.75,53.2,nearly_ready
127,103,178,217,33.89,58.06,approaching
82,112,169,253,30.57,67.23,approaching
125,169,230,278,32.3,85.73,nearly_ready
149,146,232,305,32.92,72.19,nearly_ready
175,148,247,288,29.41,66.92,ready
160,169,220,301,30.58,84.59,nearly_ready
141,135,232,256,29.49,59.08,ready
124,102,179,210,32.69,66.63,approaching
171,140,241,271,30.15,63.94,ready
128,123,163,251,29.55,68.38,nearly_ready
133,110,166,236,34.86,56.81,approaching
173,203,265,278,33.5,59.94,ready
102,127,184,253,32.31,69.68,nearly_ready
165,192,255,301,30.23,64.59,ready
74,102,144,203,28.52,81.83,not_ready
172,205,303,271,34.07,79.0,not_ready
151,162,232,303,34.34,52.02,ready
89,111,164,207,26.96,85.4,not_ready
157,133,211,263,31.19,62.78,ready
147,135,242,265,33.47,63.09,nearly_ready
78,105,152,199,28.47,73.13,not_ready
63,77,141,212,29.31,70.43,not_ready
154,141,239,258,34.73,55.08,nearly_ready
167,147,237,258,31.49,64.32,ready
147,149,254,270,31.17,60.4,ready
147,131,224,258,34.57,54.75,nearly_ready
122,159,217,278,31.42,84.96,nearly_ready
86,126,164,249,30.69,65.67,approaching
197,228,276,356,31.98,73.0,approaching
86,118,175,248,31.39,64.68,approaching
159,149,222,285,34.77,57.83,nearly_ready
210,93,260,238,37.11,78.22,not_ready
116,82,182,251,32.91,67.33,nearly_ready
81,112,175,206,27.96,85.21,not_ready
82,112,172,197,28.99,74.58,not_ready
163,154,249,263,31.88,64.24,ready
161,135,238,256,31.98,62.54,ready
87,104,139,213,27.8,77.89,not_ready
102,112,183,266,31.72,72.45,approaching
84,111,168,251,30.02,67.33,approaching
130,151,222,238,32.47,68.16,ready
128,95,182,201,31.44,69.96,approaching
168,143,234,249,31.92,60.35,ready
82,80,151,217,29.97,69.21,approaching
154,132,196,284,31.67,70.13,ready
198,212,294,354,32.47,72.28,approaching
96,118,170,217,27.23,86.57,not_ready
171,141,251,280,30.54,61.7,ready
226,201,276,371,28.94,81.16,approaching
155,187,251,277,30.51,61.16,ready
127,100,197,237,31.58,66.14,approaching
130,147,218,241,32.31,67.02,ready
137,144,206,244,33.88,63.77,nearly_ready
118,82,145,173,26.75,77.47,not_ready
147,156,233,266,32.85,53.32,nearly_ready
139,125,208,280,31.15,70.34,nearly_ready
164,146,210,305,30.59,76.28,ready
83,65,154,165,31.74,67.49,not_ready
188,152,242,304,36.3,62.49,approaching
161,155,242,262,31.3,67.26,ready
78,103,178,192,28.95,76.2,not_ready
200,169,313,302,26.91,77.64,approaching
152,160,231,308,34.31,52.42,ready
202,216,208,374,32.78,80.52,not_ready
123,103,180,226,31.86,67.2,nearly_ready
98,100,133,213,28.86,79.73,not_ready
146,151,219,300,34.05,53.07,ready
142,125,221,246,33.99,56.69,nearly_ready
174,190,284,281,32.18,84.39,not_ready
102,88,123,211,27.57,81.42,not_ready
198,157,245,319,37.92,59.11,approaching
154,145,228,266,33.45,57.06,nearly_ready
135,192,248,357,33.63,66.11,approaching
163,183,248,281,30.23,67.35,ready
146,144,222,259,33.56,58.52,nearly_ready
161,187,237,261,31.69,60.25,ready
164,186,257,279,30.84,63.66,ready
83,111,165,199,28.81,72.81,not_ready
199,120,269,272,31.74,83.71,not_ready
157,119,230,284,33.49,54.67,nearly_ready
205,191,195,359,32.56,81.1,not_ready
134,110,164,228,33.24,61.66,approaching
123,178,237,261,35.74,61.49,not_ready
157,183,238,275,30.33,62.88,ready
97,107,184,223,30.89,67.51,approaching
145,121,218,287,30.69,75.22,nearly_ready
90,93,127,216,29.05,76.14,not_ready
122,127,203,233,34.9,67.24,approaching
144,141,228,249,31.33,55.2,ready
195,159,231,327,37.32,61.06,approaching
124,176,242,280,35.33,63.36,approaching
96,115,167,213,27.45,85.39,not_ready
148,187,289,355,30.61,93.6,approaching
166,202,286,363,30.51,94.83,approaching
151,159,235,271,32.23,57.27,ready
97,131,187,261,33.35,63.8,approaching
187,198,302,284,33.66,87.75,not_ready
153,139,229,240,34.59,55.79,nearly_ready
106,114,188,230,31.55,68.74,approaching
235,217,308,365,32.75,74.51,not_ready
202,158,299,287,26.67,73.89,approaching
164,189,251,294,29.81,67.1,ready
135,111,189,239,31.6,67.75,nearly_ready
86,88,150,179,30.42,70.97,not_ready
148,146,245,279,30.14,62.61,ready
109,81,147,184,27.51,76.46,not_ready
119,110,156,244,29.69,64.99,approaching
147,141,198,283,31.36,70.29,nearly_ready
116,78,141,189,27.39,78.93,not_ready
140,125,210,231,33.5,56.5,nearly_ready
109,110,179,255,31.54,71.02,nearly_ready
70,82,147,201,30.06,69.67,approaching
199,131,258,274,34.09,86.26,not_ready
135,130,237,294,29.57,70.47,nearly_ready
140,152,222,253,31.57,56.51,nearly_ready
139,143,277,334,30.52,94.48,approaching
149,132,255,296,29.38,72.2,nearly_ready
168,157,243,275,31.06,65.48,ready
124,107,166,243,29.68,66.5,nearly_ready
171,152,244,261,31.31,65.94,ready
116,98,175,238,32.95,59.22,approaching
132,142,208,257,32.48,65.37,ready
205,216,266,302,33.71,92.63,not_ready
113,160,216,263,32.73,82.0,nearly_ready
148,122,232,276,29.99,66.85,nearly_ready
213,174,304,289,28.5,71.79,nearly_ready
151,128,218,242,31.3,63.06,ready
162,134,240,261,29.1,66.11,ready
150,158,220,313,34.88,51.31,nearly_ready
127,149,222,263,33.71,62.65,nearly_ready
148,137,240,264,32.34,64.77,ready
185,102,253,243,34.23,75.6,approaching
109,111,171,234,31.51,68.25,approaching
153,180,245,345,29.98,94.32,approaching
149,135,226,292,31.81,77.11,ready
143,140,215,251,32.57,57.96,nearly_ready
184,146,259,281,33.82,48.35,nearly_ready
159,156,262,285,31.51,61.61,ready
152,163,225,295,34.75,50.58,ready
62,76,112,212,28.54,74.46,not_ready
196,207,239,295,31.07,87.06,approaching
124,95,178,231,32.03,63.94,approaching
140,125,231,282,29.99,70.86,nearly_ready
148,129,228,268,34.92,54.49,approaching
81,79,149,221,27.69,76.55,not_ready
160,186,244,284,29.39,68.13,ready
149,159,237,258,33.33,54.96,nearly_ready
65,76,138,207,29.24,69.98,not_ready
148,135,218,243,30.1,66.99,nearly_ready
162,142,220,264,31.76,59.8,ready
91,113,177,204,28.54,75.79,not_ready
166,162,261,282,30.7,66.14,ready
167,197,248,302,31.07,64.24,ready
159,158,257,288,30.42,70.01,ready
113,83,182,267,33.48,62.77,nearly_ready
102,129,185,256,31.42,77.87,nearly_ready
78,106,164,222,28.87,74.98,not_ready
144,133,227,240,35.24,55.9,approaching
131,186,249,280,34.94,55.51,approaching
79,115,152,200,28.87,72.37,not_ready
183,102,246,243,35.62,74.75,not_ready
95,99,120,203,29.19,77.77,not_ready
157,147,218,292,31.31,75.65,ready
89,115,167,207,27.55,84.22,not_ready
245,219,314,341,31.84,78.71,approaching
153,152,244,280,28.45,93.98,approaching
133,122,277,297,32.44,65.25,approaching
148,139,238,262,31.91,63.81,ready
133,122,209,271,30.72,71.13,nearly_ready
99,98,125,225,27.19,79.31,not_ready
149,151,228,270,32.94,53.22,nearly_ready
218,210,216,356,31.9,81.31,approaching
91,99,132,199,27.92,79.27,not_ready
102,95,198,253,31.15,74.54,not_ready
87,103,156,210,28.69,77.62,not_ready
149,158,244,267,32.37,55.86,ready
161,197,256,288,31.04,66.4,ready
121,122,196,237,32.91,70.56,approaching
86,118,176,208,29.43,75.07,not_ready
107,119,174,238,31.06,72.14,approaching
144,159,224,304,35.04,51.65,nearly_ready
102,71,145,183,27.83,73.99,not_ready
152,143,223,258,33.29,57.11,nearly_ready
142,166,223,250,30.71,62.88,ready
206,189,188,338,32.24,79.97,approaching
192,211,309,293,32.19,88.94,not_ready
95,107,172,216,31.51,65.34,approaching
157,190,239,263,31.27,60.62,ready
189,184,320,326,31.5,78.05,approaching
127,98,178,270,34.18,62.82,approaching
160,137,241,271,30.55,59.75,ready
126,112,164,236,28.84,69.33,approaching
178,199,294,298,32.03,88.36,not_ready
135,175,217,280,34.28,66.8,approaching
148,193,269,314,35.32,66.31,not_ready
44,74,109,208,29.09,71.06,not_ready
128,119,232,276,30.17,68.74,nearly_ready
152,136,224,261,35.69,52.23,approaching
199,203,204,371,36.07,74.14,not_ready
132,125,227,275,30.01,68.65,ready
132,129,227,305,33.09,94.55,approaching
83,111,160,200,28.41,75.17,not_ready
184,190,262,310,32.45,73.79,approaching
140,115,231,291,29.97,70.53,nearly_ready
159,155,260,288,30.58,69.97,ready
115,83,157,177,27.45,78.75,not_ready
164,180,243,267,31.9,59.94,ready
141,110,293,273,32.29,71.77,approaching
128,109,177,241,34.18,61.02,approaching
121,117,206,288,32.69,86.98,nearly_ready
130,92,183,234,32.02,66.16,nearly_ready
207,140,277,276,33.32,84.81,not_ready
140,170,232,261,30.21,60.55,ready
122,85,158,206,27.54,79.91,approaching
153,139,235,260,34.06,58.22,nearly_ready
119,91,191,281,34.64,62.08,approaching
130,149,232,247,33.57,63.94,nearly_ready
100,93,132,215,28.21,81.0,not_ready
155,128,288,285,35.89,73.05,not_ready
155,158,238,328,36.1,60.81,approaching
222,140,296,288,37.34,71.66,not_ready
108,117,202,256,32.96,72.51,nearly_ready
60,73,129,197,29.59,74.34,not_ready
123,111,158,235,29.57,63.75,nearly_ready
202,214,284,296,35.43,70.9,not_ready
97,93,159,176,30.54,72.27,not_ready
112,114,181,235,32.89,66.14,approaching
52,74,108,184,28.78,71.53,not_ready
186,197,184,332,32.49,80.58,not_ready
99,109,159,223,30.42,62.46,approaching
87,113,167,213,28.59,75.18,not_ready
152,133,250,298,28.74,71.31,nearly_ready
138,103,180,209,32.97,67.01,approaching
91,97,142,210,28.05,77.28,not_ready
123,88,144,189,27.97,78.0,approaching
152,190,251,317,36.51,73.83,not_ready
60,60,128,202,29.1,70.92,not_ready
167,175,292,329,38.19,60.47,approaching
145,121,204,236,34.21,64.28,approaching
150,199,296,355,37.86,60.84,approaching
147,150,248,274,31.21,60.66,ready
87,117,174,222,28.7,76.19,not_ready
129,147,209,243,32.5,66.86,ready
177,146,254,271,33.35,49.3,ready
145,125,241,282,30.01,67.4,ready
83,77,119,214,28.65,77.13,not_ready
129,124,222,288,29.37,73.23,nearly_ready
67,94,131,206,27.57,77.49,approaching
94,91,160,175,30.77,71.68,not_ready
180,198,190,343,33.17,75.83,not_ready
178,143,238,268,34.17,50.82,nearly_ready
147,140,249,263,31.08,67.49,ready
139,107,191,221,32.72,67.87,approaching
88,97,119,204,28.46,74.68,not_ready
100,120,171,219,27.55,79.36,not_ready
134,119,169,254,29.96,66.4,approaching
120,88,179,231,31.15,70.03,approaching
158,184,242,272,31.02,61.16,ready
193,220,276,356,32.17,71.75,approaching
129,100,171,233,34.44,58.3,approaching
145,130,213,293,31.36,74.21,ready
109,124,189,224,33.28,70.07,nearly_ready
148,151,239,266,31.06,61.38,ready
138,121,238,288,29.26,72.9,nearly_ready
86,115,184,207,28.16,76.92,not_ready
145,146,199,288,30.29,72.88,nearly_ready
91,86,130,211,28.54,77.72,not_ready
128,124,210,297,32.47,88.48,approaching
133,158,223,236,33.12,65.47,nearly_ready
126,87,148,185,27.92,78.91,approaching
146,125,228,283,32.03,71.33,nearly_ready
119,126,182,221,34.2,67.41,approaching
160,148,207,253,32.26,77.64,nearly_ready
144,169,231,267,34.84,66.72,nearly_ready
167,191,250,292,30.99,62.06,ready
129,166,224,282,31.5,85.78,nearly_ready
75,87,155,211,29.91,71.94,approaching
145,202,263,300,34.49,65.69,not_ready
76,113,190,206,27.48,75.79,not_ready
170,145,228,265,31.48,61.71,ready
82,109,165,208,27.41,84.34,not_ready
65,79,165,207,28.61,76.7,not_ready
82,109,174,197,27.79,83.61,not_ready
96,85,158,166,30.45,73.5,not_ready
94,127,191,263,33.23,63.18,approaching
190,194,180,345,35.19,76.47,not_ready
58,70,106,186,28.6,69.95,not_ready
148,153,224,262,33.48,55.71,nearly_ready
222,237,286,370,33.03,72.72,approaching
120,108,148,241,29.76,63.48,nearly_ready
157,150,241,265,31.9,61.91,ready
153,130,216,235,31.54,63.08,ready
146,130,181,260,28.63,70.65,nearly_ready
209,201,196,362,34.59,83.81,not_ready
89,121,158,221,28.07,79.06,not_ready
63,76,157,212,29.23,74.65,approaching
155,142,222,254,33.32,61.3,nearly_ready
152,144,243,272,32.32,61.65,ready
72,73,151,209,27.75,76.43,not_ready
165,160,261,296,29.87,66.78,ready
148,153,230,256,31.97,54.18,nearly_ready
129,159,208,269,32.51,81.19,nearly_ready
202,88,259,277,34.31,78.32,approaching
184,142,250,282,33.37,48.01,ready
219,243,280,377,31.42,67.82,approaching
92,96,168,205,31.57,64.5,approaching
102,95,138,223,28.51,81.52,not_ready
169,141,254,269,32.69,50.47,ready
189,201,232,287,34.33,76.47,not_ready
144,125,200,241,33.54,57.35,nearly_ready
81,117,184,198,28.24,76.9,not_ready
168,194,263,300,29.91,67.35,ready
148,178,254,295,38.48,70.63,approaching
142,143,270,307,31.12,88.36,approaching
61,79,123,214,28.0,77.63,not_ready
140,140,214,251,32.64,58.61,nearly_ready
130,183,235,281,31.78,66.62,nearly_ready
166,136,246,273,30.25,64.58,ready
96,108,132,210,29.24,75.95,not_ready
152,132,200,285,31.65,67.0,ready
179,139,242,279,32.91,51.01,ready
99,126,189,265,32.93,63.49,approaching
136,143,230,263,32.71,66.32,nearly_ready
149,150,228,257,32.6,52.64,nearly_ready
144,139,208,285,30.81,68.9,ready
189,190,194,341,31.55,82.1,not_ready
141,148,259,277,30.64,59.96,ready
132,121,197,276,31.54,69.14,ready
119,78,173,268,33.11,63.62,nearly_ready
57,71,105,182,28.61,71.46,not_ready
181,146,312,321,37.87,58.11,not_ready
138,120,218,268,30.09,69.99,nearly_ready
129,108,185,206,33.81,65.89,approaching
186,141,243,318,37.38,61.28,approaching
99,87,122,216,28.05,77.83,not_ready
116,138,203,231,33.01,64.77,nearly_ready
135,161,238,250,33.92,67.42,nearly_ready
143,124,231,282,29.44,73.45,nearly_ready
187,149,239,303,36.27,63.3,approaching
101,92,114,224,27.28,81.82,not_ready
145,150,229,258,31.67,55.23,ready
79,107,180,206,28.45,77.11,not_ready
184,205,291,309,33.68,74.55,not_ready
154,187,250,282,30.97,63.09,ready
129,147,203,254,33.83,63.15,nearly_ready
84,103,149,228,30.82,59.56,approaching
139,116,233,280,29.43,73.37,nearly_ready
140,124,206,253,33.92,56.75,nearly_ready
158,161,253,337,37.07,57.71,approaching
94,111,163,205,27.06,85.21,not_ready
162,155,244,275,30.62,71.36,ready
160,151,250,256,31.95,65.32,ready
157,151,245,263,31.23,68.41,ready
147,150,232,246,32.38,52.69,nearly_ready
92,112,175,214,26.97,86.64,not_ready
161,149,236,268,30.15,61.96,ready
78,121,178,248,31.09,64.74,approaching
91,93,126,207,28.39,78.36,not_ready
82,79,157,180,31.6,67.74,not_ready
126,154,222,282,31.64,85.63,nearly_ready
105,79,135,184,27.26,76.41,not_ready
130,115,221,284,29.48,70.58,nearly_ready
134,149,233,256,33.84,64.12,nearly_ready
58,78,121,198,29.35,74.98,not_ready
183,209,274,316,31.95,76.01,approaching
150,129,302,277,36.16,72.83,not_ready
108,111,179,226,31.16,72.23,approaching
87,109,158,223,28.36,77.42,not_ready
98,89,168,185,31.3,74.28,not_ready
205,183,316,315,27.74,71.51,approaching
131,105,288,265,33.27,67.16,approaching
138,105,203,219,33.23,66.8,approaching
44,73,103,193,28.54,71.57,not_ready
102,70,133,161,28.03,73.55,not_ready
150,142,246,297,29.02,70.72,ready
88,88,130,211,28.53,79.11,not_ready
145,130,224,232,33.37,59.79,nearly_ready
215,235,295,327,32.58,76.05,approaching
146,164,243,267,34.87,61.96,nearly_ready
101,120,165,233,29.26,75.0,not_ready
