sample_id,hive_id,device_id,timestamp,hive_age_days,days_since_last_harvest,cycle_progress,scenario_type,season,weather_state,temp,humidity,mq2_value,mq3_value,mq5_value,mq135_value,maturity_index,stress_index,readiness_score,readiness_level,out_of_distribution_case,threshold_warning_count,critical_stress_flag
BH-EAR-009-022,HIVE-009,ESP32-1009,2026-02-15T08:00:00,34,17,0.3165,early_stage_healthy,wet,storm_front,28.15,75.17,85,117,185,205,0.1891,0.0,0.2452,not_ready,False,0,False
BH-LAT-025-090,HIVE-025,ESP32-1025,2026-05-14T20:00:00,119,43,0.7576,late_stage_nearly_ready,dry,stable_clear,34.71,63.77,148,158,235,261,0.827,0.1984,0.6973,nearly_ready,False,1,False
BH-MID-010-075,HIVE-010,ESP32-1010,2026-02-21T06:00:00,115,43,0.7901,mid_stage_stable,inter_monsoon,post_rain,31.76,75.5,119,118,194,287,0.743,0.0,0.7331,nearly_ready,False,0,False
BH-EAR-005-063,HIVE-005,ESP32-1005,2026-05-09T18:00:00,80,35,0.329,early_stage_healthy,inter_monsoon,cloudy_stable,28.68,71.91,50,73,122,198,0.2545,0.0,0.3033,not_ready,False,0,False
BH-MID-011-064,HIVE-011,ESP32-1011,2026-04-22T12:00:00,113,39,0.7501,mid_stage_stable,dry,cloudy_stable,33.0,64.56,124,94,189,257,0.6926,0.0258,0.6746,nearly_ready,False,0,False
BH-EAR-007-008,HIVE-007,ESP32-1007,2026-03-12T12:00:00,42,8,0.3228,early_stage_healthy,inter_monsoon,post_rain,28.34,75.3,63,70,152,196,0.2427,0.0,0.2908,not_ready,False,0,False
BH-ENV-062-000,HIVE-062,ESP32-1062,2026-03-18T04:00:00,82,11,0.7715,environmentally_unstable,inter_monsoon,post_rain,34.31,58.97,122,179,239,272,0.6619,0.3547,0.4642,approaching,False,1,False
BH-LAT-024-088,HIVE-024,ESP32-1024,2026-05-06T04:00:00,111,44,0.7681,late_stage_nearly_ready,dry,cloudy_stable,32.83,58.45,149,130,212,232,0.8361,0.0,0.8152,ready,False,0,False
BH-ENV-062-065,HIVE-062,ESP32-1062,2026-04-03T10:00:00,98,27,0.8413,environmentally_unstable,inter_monsoon,humid_rain,34.66,64.45,115,163,213,236,0.7282,0.4183,0.4883,approaching,False,1,False
BH-MID-011-063,HIVE-011,ESP32-1011,2026-04-22T06:00:00,113,47,0.7511,mid_stage_stable,dry,cloudy_stable,33.14,64.8,117,98,183,258,0.6523,0.0,0.6521,nearly_ready,False,0,False
BH-LAT-034-011,HIVE-034,ESP32-1034,2026-03-31T02:00:00,134,16,0.814,late_stage_ready,dry,midday_heat,34.61,51.34,149,163,216,299,0.9449,0.2126,0.7938,nearly_ready,False,1,False
BH-LAT-033-019,HIVE-033,ESP32-1033,2026-01-22T10:00:00,119,15,0.9542,late_stage_ready,inter_monsoon,cloudy_stable,31.6,66.82,159,148,243,259,0.9618,0.0,0.9254,ready,False,0,False
BH-ENV-065-049,HIVE-065,ESP32-1065,2026-01-26T02:00:00,134,33,0.8598,environmentally_unstable,inter_monsoon,post_rain,33.77,71.25,145,191,256,375,0.8332,0.5329,0.4571,approaching,False,3,True
BH-LAT-037-053,HIVE-037,ESP32-1037,2026-04-14T14:00:00,156,37,0.9353,late_stage_ready,inter_monsoon,stable_clear,30.79,60.4,156,184,240,278,1.0,0.0,0.9592,ready,False,1,False
BH-EAR-005-007,HIVE-005,ESP32-1005,2026-04-25T18:00:00,54,16,0.1684,early_stage_healthy,inter_monsoon,cloudy_stable,28.94,71.06,50,73,109,199,0.1553,0.0,0.2157,not_ready,False,0,False
BH-LAT-028-067,HIVE-028,ESP32-1028,2026-02-06T02:00:00,101,30,0.8326,late_stage_nearly_ready,inter_monsoon,cloudy_stable,31.17,70.72,141,130,213,280,0.7922,0.0097,0.7697,nearly_ready,False,0,False
BH-LAT-023-089,HIVE-023,ESP32-1023,2026-02-18T06:00:00,136,36,0.9837,late_stage_nearly_ready,inter_monsoon,cloudy_stable,31.47,64.61,170,138,225,259,0.9389,0.0,0.9044,ready,False,0,False
BH-EAR-002-074,HIVE-002,ESP32-1002,2026-01-26T08:00:00,78,37,0.2843,early_stage_healthy,inter_monsoon,stable_clear,31.46,67.11,85,75,156,165,0.283,0.0,0.3287,not_ready,False,0,False
BH-EAR-004-077,HIVE-004,ESP32-1004,2026-02-09T22:00:00,65,50,0.3843,early_stage_healthy,wet,humid_rain,28.44,79.33,95,80,130,215,0.276,0.0,0.321,not_ready,False,0,False
BH-MID-013-029,HIVE-013,ESP32-1013,2026-03-28T22:00:00,90,23,0.3911,mid_stage_stable,inter_monsoon,post_rain,29.4,67.01,88,118,156,225,0.4512,0.0,0.4764,approaching,False,0,False
BH-MID-019-055,HIVE-019,ESP32-1019,2026-03-31T14:00:00,79,33,0.4626,mid_stage_stable,dry,midday_heat,32.01,64.23,90,126,188,275,0.5185,0.0,0.5347,approaching,False,0,False
BH-LAT-032-033,HIVE-032,ESP32-1032,2026-03-23T22:00:00,114,20,0.9125,late_stage_ready,inter_monsoon,cloudy_stable,30.37,63.6,171,147,239,270,0.9392,0.0,0.9055,ready,False,0,False
BH-MID-016-071,HIVE-016,ESP32-1016,2026-02-17T18:00:00,77,46,0.6735,mid_stage_stable,dry,cloudy_stable,32.0,68.66,133,103,187,203,0.6284,0.0,0.6319,nearly_ready,False,0,False
BH-MID-012-062,HIVE-012,ESP32-1012,2026-02-07T00:00:00,105,39,0.7493,mid_stage_stable,dry,stable_clear,34.04,72.26,118,125,200,214,0.6841,0.106,0.6231,nearly_ready,False,1,False
BH-LAT-020-056,HIVE-020,ESP32-1020,2026-02-05T20:00:00,115,30,0.813,late_stage_nearly_ready,dry,cloudy_stable,33.1,64.2,130,140,220,252,0.8066,0.0337,0.77,nearly_ready,False,0,False
BH-LAT-023-061,HIVE-023,ESP32-1023,2026-02-11T06:00:00,129,33,0.9391,late_stage_nearly_ready,inter_monsoon,cloudy_stable,31.19,64.62,153,132,232,242,0.8974,0.0199,0.8567,ready,False,0,False
BH-EAR-002-002,HIVE-002,ESP32-1002,2026-01-08T08:00:00,53,14,0.1163,early_stage_healthy,inter_monsoon,stable_clear,32.49,69.17,81,77,153,167,0.1074,0.0,0.1721,not_ready,False,0,False
BH-LAT-032-053,HIVE-032,ESP32-1032,2026-03-28T22:00:00,121,22,0.9628,late_stage_ready,inter_monsoon,post_rain,30.25,66.91,176,148,253,280,0.9803,0.0,0.9414,ready,False,0,False
BH-MID-011-078,HIVE-011,ESP32-1011,2026-04-26T00:00:00,118,49,0.7832,mid_stage_stable,dry,stable_clear,33.54,61.45,122,95,186,276,0.6836,0.0464,0.6547,nearly_ready,False,1,False
BH-MID-013-024,HIVE-013,ESP32-1013,2026-03-27T16:00:00,88,18,0.351,mid_stage_stable,inter_monsoon,stable_clear,30.55,61.64,77,105,153,216,0.4548,0.0,0.479,approaching,False,0,False
BH-MID-015-055,HIVE-015,ESP32-1015,2026-04-21T22:00:00,87,31,0.5764,mid_stage_stable,dry,stable_clear,32.97,60.72,128,103,171,226,0.5557,0.0,0.568,approaching,False,0,False
BH-MID-012-057,HIVE-012,ESP32-1012,2026-02-05T18:00:00,103,39,0.7374,mid_stage_stable,dry,stable_clear,33.77,69.1,116,119,171,217,0.6706,0.0659,0.633,nearly_ready,False,1,False
BH-LAT-027-031,HIVE-027,ESP32-1027,2026-04-15T10:00:00,125,25,0.7971,late_stage_nearly_ready,inter_monsoon,cloudy_stable,30.72,72.17,147,137,200,281,0.8444,0.0108,0.815,ready,False,0,False
BH-EAR-009-018,HIVE-009,ESP32-1009,2026-02-14T08:00:00,32,16,0.2819,early_stage_healthy,wet,humid_rain,29.43,78.8,82,118,185,199,0.1989,0.0,0.2543,not_ready,False,0,False
BH-LAT-025-066,HIVE-025,ESP32-1025,2026-05-08T20:00:00,114,34,0.7338,late_stage_nearly_ready,dry,stable_clear,33.84,62.99,127,160,237,232,0.8245,0.132,0.7323,nearly_ready,False,1,False
BH-EAR-008-015,HIVE-008,ESP32-1008,2026-02-14T10:00:00,40,14,0.113,early_stage_healthy,wet,post_rain,28.16,81.7,73,101,145,190,0.1068,0.0067,0.1687,not_ready,False,1,False
BH-EAR-005-061,HIVE-005,ESP32-1005,2026-05-09T06:00:00,79,43,0.3171,early_stage_healthy,inter_monsoon,cloudy_stable,28.64,72.95,59,82,124,214,0.2745,0.0,0.3198,not_ready,False,0,False
BH-LAT-021-079,HIVE-021,ESP32-1021,2026-01-27T06:00:00,113,37,0.7918,late_stage_nearly_ready,inter_monsoon,post_rain,29.03,71.51,165,133,242,305,0.8059,0.0258,0.774,nearly_ready,False,0,False
BH-LAT-025-012,HIVE-025,ESP32-1025,2026-04-25T08:00:00,91,18,0.6284,late_stage_nearly_ready,dry,cloudy_stable,32.99,66.17,138,156,236,252,0.6788,0.0526,0.6462,nearly_ready,False,0,False
BH-LAT-043-053,HIVE-043,ESP32-1043,2026-05-14T02:00:00,149,23,0.9038,late_stage_overheated,dry,stable_clear,35.03,64.06,132,192,271,329,0.9639,0.6319,0.5199,approaching,False,4,True
BH-LAT-022-071,HIVE-022,ESP32-1022,2026-03-18T10:00:00,145,39,0.8228,late_stage_nearly_ready,dry,stable_clear,31.77,56.2,147,153,221,256,0.8509,0.0,0.8266,ready,False,0,False
BH-EAR-001-077,HIVE-001,ESP32-1001,2026-02-16T10:00:00,67,39,0.3733,early_stage_healthy,wet,humid_rain,28.94,75.05,85,114,171,200,0.2746,0.0,0.3212,not_ready,False,0,False
BH-EAR-003-057,HIVE-003,ESP32-1003,2026-03-26T06:00:00,69,46,0.343,early_stage_healthy,wet,storm_front,27.49,77.05,110,83,152,171,0.2489,0.0,0.2964,not_ready,False,0,False
BH-EAR-005-068,HIVE-005,ESP32-1005,2026-05-11T00:00:00,81,42,0.3176,early_stage_healthy,inter_monsoon,cloudy_stable,29.07,73.81,59,86,117,210,0.3083,0.0,0.3506,approaching,False,0,False
BH-HIG-057-014,HIVE-057,ESP32-1057,2026-03-19T04:00:00,97,20,0.8241,high_gas_stress,wet,storm_front,30.28,78.72,227,214,289,374,0.7941,0.565,0.4068,approaching,False,4,True
BH-LAT-028-060,HIVE-028,ESP32-1028,2026-02-04T08:00:00,99,25,0.8024,late_stage_nearly_ready,inter_monsoon,cloudy_stable,30.16,72.12,146,128,206,284,0.8416,0.0,0.8189,ready,False,0,False
BH-HIG-050-058,HIVE-050,ESP32-1050,2026-01-25T12:00:00,146,40,0.9711,high_humidity_fermentation_risk,inter_monsoon,cloudy_stable,30.66,87.28,158,169,227,302,0.9055,0.4071,0.6496,nearly_ready,False,1,False
BH-MID-010-081,HIVE-010,ESP32-1010,2026-02-22T18:00:00,116,44,0.8335,mid_stage_stable,inter_monsoon,cloudy_stable,32.1,70.98,95,115,187,261,0.7359,0.0,0.7264,nearly_ready,False,0,False
BH-LAT-022-016,HIVE-022,ESP32-1022,2026-03-04T16:00:00,121,13,0.6451,late_stage_nearly_ready,dry,cloudy_stable,30.61,57.56,134,140,226,251,0.7731,0.0,0.7591,nearly_ready,False,0,False
BH-ENV-059-031,HIVE-059,ESP32-1059,2026-01-11T06:00:00,127,20,0.4846,environmentally_unstable,inter_monsoon,post_rain,30.78,81.82,196,203,197,337,0.6418,0.5186,0.2985,not_ready,False,4,True
BH-LAT-041-009,HIVE-041,ESP32-1041,2026-03-19T22:00:00,122,18,0.8525,late_stage_overheated,dry,midday_heat,38.19,71.0,141,182,246,274,0.8618,0.6903,0.3976,approaching,False,2,True
BH-MID-011-034,HIVE-011,ESP32-1011,2026-04-15T00:00:00,96,22,0.6317,mid_stage_stable,dry,midday_heat,34.41,65.94,155,89,216,300,0.582,0.1573,0.5012,approaching,False,1,False
BH-ENV-062-044,HIVE-062,ESP32-1062,2026-03-29T04:00:00,91,26,0.8297,environmentally_unstable,inter_monsoon,midday_heat,36.27,59.48,127,177,247,248,0.7641,0.6357,0.3409,not_ready,False,1,True
BH-MID-010-029,HIVE-010,ESP32-1010,2026-02-09T18:00:00,93,27,0.6278,mid_stage_stable,inter_monsoon,stable_clear,30.89,72.42,92,107,185,259,0.6208,0.0,0.625,nearly_ready,False,0,False
BH-HIG-049-017,HIVE-049,ESP32-1049,2026-05-01T10:00:00,91,20,0.8436,high_humidity_fermentation_risk,wet,humid_rain,30.64,93.34,151,185,268,340,0.7884,0.6935,0.3308,not_ready,False,4,True
BH-LAT-029-036,HIVE-029,ESP32-1029,2026-02-27T00:00:00,103,22,0.6261,late_stage_nearly_ready,dry,stable_clear,32.43,56.5,143,145,222,260,0.7042,0.0,0.6983,nearly_ready,False,0,False
BH-EAR-003-077,HIVE-003,ESP32-1003,2026-03-31T06:00:00,76,46,0.3754,early_stage_healthy,wet,humid_rain,27.86,78.29,121,84,142,191,0.3306,0.0,0.3706,approaching,False,0,False
BH-EAR-001-043,HIVE-001,ESP32-1001,2026-02-07T22:00:00,55,27,0.3389,early_stage_healthy,wet,humid_rain,28.17,76.81,91,110,172,208,0.2479,0.0,0.2971,not_ready,False,0,False
BH-LAT-022-090,HIVE-022,ESP32-1022,2026-03-23T04:00:00,149,49,0.8489,late_stage_nearly_ready,dry,stable_clear,31.48,55.84,136,141,226,256,0.8728,0.0,0.8467,ready,False,0,False
BH-ENV-063-028,HIVE-063,ESP32-1063,2026-03-31T16:00:00,127,17,0.7017,environmentally_unstable,inter_monsoon,humid_rain,33.06,67.38,142,113,274,270,0.7185,0.2872,0.5529,approaching,False,1,False
BH-HIG-053-064,HIVE-053,ESP32-1053,2026-05-14T20:00:00,99,27,0.8804,high_gas_stress,inter_monsoon,stable_clear,32.82,72.73,173,191,266,308,0.831,0.3926,0.5946,approaching,False,2,False
BH-LAT-036-063,HIVE-036,ESP32-1036,2026-04-12T10:00:00,129,33,0.9917,late_stage_ready,dry,midday_heat,33.44,49.53,176,140,264,269,1.0,0.1904,0.8538,ready,False,1,False
BH-MID-010-068,HIVE-010,ESP32-1010,2026-02-19T12:00:00,113,38,0.779,mid_stage_stable,inter_monsoon,cloudy_stable,31.71,73.73,94,106,193,256,0.7136,0.0,0.7069,nearly_ready,False,0,False
BH-LAT-032-054,HIVE-032,ESP32-1032,2026-03-29T04:00:00,121,28,0.9477,late_stage_ready,inter_monsoon,post_rain,30.0,66.73,170,144,252,282,0.9587,0.0,0.9229,ready,False,0,False
BH-HIG-050-004,HIVE-050,ESP32-1050,2026-01-12T00:00:00,124,12,0.9356,high_humidity_fermentation_risk,inter_monsoon,cloudy_stable,30.09,92.2,164,174,222,316,0.9199,0.6137,0.4885,approaching,False,1,True
BH-LAT-038-075,HIVE-038,ESP32-1038,2026-05-05T02:00:00,162,39,1.0,late_stage_overheated,dry,cloudy_stable,35.99,61.26,157,161,239,336,1.0,0.6908,0.5163,approaching,False,2,True
BH-LAT-037-006,HIVE-037,ESP32-1037,2026-04-02T20:00:00,135,14,0.8309,late_stage_ready,inter_monsoon,stable_clear,31.22,62.08,166,193,238,289,0.915,0.0,0.8845,ready,False,1,False
BH-LAT-037-031,HIVE-037,ESP32-1037,2026-04-09T02:00:00,144,19,0.8855,late_stage_ready,inter_monsoon,stable_clear,30.54,65.99,171,191,266,300,0.9889,0.0258,0.933,ready,False,2,False
BH-HIG-050-029,HIVE-050,ESP32-1050,2026-01-18T06:00:00,132,25,0.9584,high_humidity_fermentation_risk,inter_monsoon,stable_clear,30.47,91.14,170,182,235,316,0.9257,0.6279,0.4878,approaching,False,2,True
BH-HIG-053-041,HIVE-053,ESP32-1053,2026-05-09T02:00:00,95,19,0.7789,high_gas_stress,inter_monsoon,humid_rain,32.42,75.95,183,199,273,312,0.7778,0.4837,0.4335,approaching,False,3,True
BH-EAR-001-003,HIVE-001,ESP32-1001,2026-01-28T22:00:00,39,13,0.2494,early_stage_healthy,wet,cloudy_stable,29.14,70.77,71,97,155,199,0.1855,0.0,0.2424,not_ready,False,0,False
BH-LAT-030-041,HIVE-030,ESP32-1030,2026-04-25T18:00:00,143,31,0.9549,late_stage_ready,inter_monsoon,humid_rain,30.74,67.87,167,159,260,296,1.0,0.0,0.9593,ready,False,1,False
BH-EAR-002-060,HIVE-002,ESP32-1002,2026-01-22T20:00:00,74,32,0.2816,early_stage_healthy,inter_monsoon,stable_clear,31.98,65.91,82,80,151,170,0.2372,0.0,0.2872,not_ready,False,0,False
BH-LAT-021-011,HIVE-021,ESP32-1021,2026-01-10T06:00:00,88,15,0.6241,late_stage_nearly_ready,inter_monsoon,stable_clear,30.18,67.06,134,113,217,270,0.7093,0.0036,0.7013,nearly_ready,False,0,False
BH-LAT-038-041,HIVE-038,ESP32-1038,2026-04-26T14:00:00,148,29,0.9303,late_stage_overheated,dry,midday_heat,36.23,60.54,154,157,247,333,0.9527,0.6846,0.4798,approaching,False,2,True
BH-EAR-007-032,HIVE-007,ESP32-1007,2026-03-18T12:00:00,47,13,0.396,early_stage_healthy,inter_monsoon,stable_clear,29.35,69.95,75,89,147,204,0.2445,0.0,0.2935,not_ready,False,0,False
BH-MID-013-049,HIVE-013,ESP32-1013,2026-04-02T22:00:00,100,30,0.4613,mid_stage_stable,inter_monsoon,stable_clear,30.42,61.14,91,101,153,219,0.4968,0.0,0.5161,approaching,False,0,False
BH-LAT-024-087,HIVE-024,ESP32-1024,2026-05-05T22:00:00,111,41,0.786,late_stage_nearly_ready,dry,cloudy_stable,32.78,58.45,151,119,224,240,0.8185,0.0343,0.7774,nearly_ready,False,0,False
BH-MID-010-027,HIVE-010,ESP32-1010,2026-02-09T06:00:00,92,23,0.5994,mid_stage_stable,inter_monsoon,cloudy_stable,31.05,74.25,87,113,184,253,0.5718,0.0,0.5821,approaching,False,0,False
BH-MID-017-022,HIVE-017,ESP32-1017,2026-02-26T08:00:00,89,15,0.4648,mid_stage_stable,inter_monsoon,humid_rain,30.57,70.22,144,109,198,241,0.4836,0.0,0.5034,approaching,False,0,False
BH-LAT-023-048,HIVE-023,ESP32-1023,2026-02-08T00:00:00,123,28,0.9072,late_stage_nearly_ready,inter_monsoon,stable_clear,32.15,64.04,159,133,229,259,0.9187,0.0114,0.8807,ready,False,0,False
BH-LAT-036-004,HIVE-036,ESP32-1036,2026-03-28T16:00:00,113,8,0.8234,late_stage_ready,dry,cloudy_stable,31.62,54.38,165,140,230,266,0.918,0.0,0.8873,ready,False,0,False
BH-LAT-031-059,HIVE-031,ESP32-1031,2026-02-21T18:00:00,150,31,0.976,late_stage_ready,dry,stable_clear,32.25,58.75,167,189,246,267,1.0,0.0,0.9572,ready,False,1,False
BH-HIG-056-015,HIVE-056,ESP32-1056,2026-04-26T06:00:00,111,10,0.8857,high_gas_stress,inter_monsoon,stable_clear,32.34,73.14,205,226,271,344,0.8661,0.5799,0.4608,approaching,False,4,True
BH-LAT-025-056,HIVE-025,ESP32-1025,2026-05-06T08:00:00,109,33,0.7278,late_stage_nearly_ready,dry,stable_clear,33.92,62.95,139,174,249,259,0.8086,0.1696,0.6968,nearly_ready,False,1,False
BH-LAT-024-017,HIVE-024,ESP32-1024,2026-04-18T10:00:00,85,11,0.6433,late_stage_nearly_ready,dry,midday_heat,35.39,56.25,135,134,240,250,0.7298,0.234,0.5923,approaching,False,1,False
BH-LAT-036-016,HIVE-036,ESP32-1036,2026-03-31T16:00:00,115,20,0.8418,late_stage_ready,dry,midday_heat,33.5,48.57,178,139,250,269,0.8959,0.19,0.7632,nearly_ready,False,0,False
BH-LAT-023-047,HIVE-023,ESP32-1023,2026-02-07T18:00:00,123,28,0.901,late_stage_nearly_ready,inter_monsoon,stable_clear,31.86,64.91,167,138,238,274,0.8805,0.0,0.8536,ready,False,0,False
BH-MID-014-025,HIVE-014,ESP32-1014,2026-04-04T14:00:00,76,19,0.5957,mid_stage_stable,inter_monsoon,humid_rain,29.08,72.1,140,129,179,275,0.5871,0.0,0.5956,approaching,False,0,False
BH-LAT-024-076,HIVE-024,ESP32-1024,2026-05-03T04:00:00,109,42,0.7687,late_stage_nearly_ready,dry,midday_heat,35.09,51.81,155,142,242,260,0.7744,0.3446,0.5689,approaching,False,1,False
BH-LAT-030-064,HIVE-030,ESP32-1030,2026-05-01T12:00:00,155,42,0.987,late_stage_ready,inter_monsoon,stable_clear,30.36,63.82,153,158,261,274,1.0,0.0,0.9573,ready,False,1,False
BH-LAT-030-028,HIVE-030,ESP32-1030,2026-04-22T12:00:00,135,24,0.9494,late_stage_ready,inter_monsoon,cloudy_stable,30.65,61.73,147,145,250,278,1.0,0.0,0.9572,ready,False,0,False
BH-ENV-060-050,HIVE-060,ESP32-1060,2026-04-24T00:00:00,135,31,0.6757,environmentally_unstable,inter_monsoon,stable_clear,36.18,76.03,206,127,262,265,0.7219,0.7557,0.2315,not_ready,False,3,True
BH-ENV-064-068,HIVE-064,ESP32-1064,2026-02-14T08:00:00,137,38,0.7201,environmentally_unstable,inter_monsoon,humid_rain,33.23,89.12,196,213,298,319,0.7023,0.7873,0.1974,not_ready,False,4,True
BH-LAT-031-034,HIVE-031,ESP32-1031,2026-02-15T12:00:00,141,21,0.9712,late_stage_ready,dry,cloudy_stable,31.83,63.34,162,191,248,279,1.0,0.0,0.9569,ready,False,1,False
BH-LAT-031-002,HIVE-031,ESP32-1031,2026-02-07T12:00:00,134,15,0.9482,late_stage_ready,dry,stable_clear,31.18,60.94,147,177,235,257,0.9948,0.0,0.9547,ready,False,0,False
BH-LAT-024-052,HIVE-024,ESP32-1024,2026-04-27T04:00:00,100,28,0.7484,late_stage_nearly_ready,dry,stable_clear,33.33,53.78,166,116,246,310,0.7894,0.1217,0.7039,nearly_ready,False,0,False
BH-LAT-028-054,HIVE-028,ESP32-1028,2026-02-02T20:00:00,97,26,0.8112,late_stage_nearly_ready,inter_monsoon,stable_clear,31.44,66.74,137,125,203,280,0.7798,0.0,0.7648,nearly_ready,False,0,False
BH-LAT-020-010,HIVE-020,ESP32-1020,2026-01-25T08:00:00,100,11,0.6785,late_stage_nearly_ready,dry,cloudy_stable,32.9,66.55,124,137,205,236,0.7315,0.0379,0.7022,nearly_ready,False,0,False
